Time,TMin,TMax,VMin,VMax,NMin,NMax
231,0.188388,0.193585,0.0207848,0.0248023,0.566041,0.836646
232,0.187343,0.192511,0.0205432,0.024537,0.566772,0.838255
233,0.186303,0.191441,0.0203051,0.0242756,0.567497,0.839853
234,0.185266,0.190375,0.0200705,0.024018,0.568216,0.841442
235,0.184233,0.189313,0.0198394,0.0237642,0.568929,0.843021
236,0.183205,0.188255,0.0196117,0.0235141,0.569637,0.84459
237,0.18218,0.187201,0.0193873,0.0232675,0.570339,0.84615
238,0.18116,0.186152,0.0191662,0.0230246,0.571036,0.8477
239,0.180143,0.185107,0.0189484,0.0227851,0.571727,0.849241
240,0.179131,0.184066,0.0187337,0.0225491,0.572413,0.850772
241,0.178123,0.18303,0.0185222,0.0223165,0.573093,0.852294
242,0.177119,0.181997,0.0183137,0.0220872,0.573769,0.853807
243,0.176119,0.180969,0.0181083,0.0218612,0.574438,0.85531
244,0.175123,0.179945,0.0179058,0.0216383,0.575103,0.856804
245,0.174131,0.178926,0.0177062,0.0214187,0.575763,0.85829
246,0.173143,0.177911,0.0175095,0.0212021,0.576417,0.859766
247,0.17216,0.1769,0.0173156,0.0209886,0.577067,0.861233
248,0.171181,0.175893,0.0171244,0.0207781,0.577711,0.862691
249,0.170206,0.174891,0.016936,0.0205705,0.578351,0.864141
250,0.169235,0.173893,0.0167503,0.0203659,0.578985,0.865581
251,0.168268,0.1729,0.0165672,0.0201641,0.579615,0.867013
252,0.167305,0.171911,0.0163866,0.019965,0.580241,0.868437
253,0.166347,0.170926,0.0162087,0.0197688,0.580861,0.869851
254,0.165393,0.169945,0.0160332,0.0195752,0.581477,0.871257
255,0.164443,0.168969,0.0158602,0.0193844,0.582088,0.872655
256,0.163497,0.167998,0.0156896,0.0191961,0.582694,0.874044
257,0.162556,0.16703,0.0155213,0.0190104,0.583296,0.875424
258,0.161619,0.166067,0.0153555,0.0188273,0.583894,0.876797
259,0.160685,0.165109,0.0151919,0.0186466,0.584487,0.878161
260,0.159757,0.164155,0.0150305,0.0184684,0.585076,0.879516
261,0.158832,0.163205,0.0148714,0.0182926,0.58566,0.880864
262,0.157912,0.16226,0.0147144,0.0181192,0.58624,0.882203
263,0.156996,0.161319,0.0145597,0.0179481,0.586816,0.883535
264,0.156084,0.160382,0.014407,0.0177793,0.587387,0.884858
265,0.155176,0.15945,0.0142564,0.0176127,0.587955,0.886173
266,0.154273,0.158522,0.0141079,0.0174484,0.588518,0.887481
267,0.153374,0.157599,0.0139613,0.0172863,0.589077,0.88878
268,0.152479,0.15668,0.0138168,0.0171263,0.589632,0.890072
269,0.151588,0.155765,0.0136742,0.0169684,0.590183,0.891355
270,0.150701,0.154855,0.0135335,0.0168126,0.59073,0.892631
271,0.149819,0.153949,0.0133947,0.0166589,0.591273,0.8939
272,0.148941,0.153047,0.0132578,0.0165071,0.591812,0.89516
273,0.148067,0.15215,0.0131227,0.0163574,0.592347,0.896414
274,0.147198,0.151257,0.0129894,0.0162095,0.592879,0.897659
275,0.146332,0.150369,0.0128579,0.0160637,0.593406,0.898897
276,0.145471,0.149485,0.0127281,0.0159196,0.59393,0.900128
277,0.144614,0.148605,0.0126,0.0157775,0.59445,0.901351
278,0.143761,0.14773,0.0124736,0.0156372,0.594966,0.902566
279,0.142913,0.146859,0.0123488,0.0154987,0.595479,0.903775
280,0.142068,0.145992,0.0122257,0.0153619,0.595988,0.904976
281,0.141228,0.14513,0.0121042,0.0152269,0.596493,0.90617
282,0.140392,0.144272,0.0119843,0.0150936,0.596995,0.907356
283,0.13956,0.143418,0.0118659,0.014962,0.597493,0.908536
284,0.138733,0.142568,0.0117491,0.014832,0.597988,0.909708
285,0.137909,0.141723,0.0116338,0.0147037,0.598479,0.910874
286,0.13709,0.140883,0.0115199,0.014577,0.598967,0.912032
287,0.136274,0.140046,0.0114076,0.0144519,0.599451,0.913183
288,0.135463,0.139214,0.0112966,0.0143284,0.599932,0.914328
289,0.134656,0.138386,0.0111871,0.0142064,0.600409,0.915474
290,0.133854,0.137562,0.011079,0.0140859,0.600884,0.916617
291,0.133055,0.136742,0.0109722,0.0139669,0.601355,0.917754
292,0.13226,0.135927,0.0108668,0.0138493,0.601822,0.918883
293,0.13147,0.135116,0.0107627,0.0137332,0.602287,0.920006
294,0.130683,0.134309,0.0106599,0.0136185,0.602748,0.921122
295,0.129901,0.133507,0.0105585,0.0135053,0.603206,0.922232
296,0.129123,0.132708,0.0104582,0.0133934,0.60366,0.923334
297,0.128348,0.131914,0.0103593,0.0132828,0.604112,0.92443
298,0.127578,0.131124,0.0102616,0.0131736,0.604561,0.92552
299,0.126812,0.130338,0.010165,0.0130657,0.605006,0.926603
300,0.12605,0.129557,0.0100697,0.0129592,0.605448,0.927679
301,0.125292,0.128779,0.00997558,0.0128538,0.605888,0.928749
302,0.124538,0.128006,0.0098826,0.0127498,0.606324,0.929812
303,0.123788,0.127236,0.00979075,0.012647,0.606757,0.930869
304,0.123042,0.126471,0.00970003,0.0125454,0.607188,0.93192
305,0.122299,0.12571,0.00961042,0.012445,0.607615,0.932964
306,0.121561,0.124953,0.0095219,0.0123458,0.608039,0.934002
307,0.120827,0.1242,0.00943445,0.0122478,0.608461,0.935033
308,0.120097,0.123451,0.00934806,0.0121509,0.60888,0.936059
309,0.11937,0.122706,0.00926272,0.0120552,0.609296,0.937078
310,0.118648,0.121966,0.0091784,0.0119605,0.609709,0.938091
311,0.11793,0.121229,0.00909509,0.011867,0.610119,0.939098
312,0.117215,0.120496,0.00901278,0.0117746,0.610526,0.940099
313,0.116504,0.119768,0.00893146,0.0116832,0.610931,0.941094
314,0.115797,0.119043,0.0088511,0.0115929,0.611333,0.942082
315,0.115094,0.118322,0.00877169,0.0115036,0.611732,0.943065
316,0.114395,0.117605,0.00869323,0.0114153,0.612129,0.944042
317,0.1137,0.116892,0.00861569,0.0113281,0.612522,0.945013
318,0.113008,0.116183,0.00853906,0.0112418,0.612914,0.945978
319,0.112321,0.115478,0.00846333,0.0111565,0.613302,0.946938
320,0.111637,0.114777,0.00838849,0.0110722,0.613688,0.947891
321,0.110957,0.11408,0.00831452,0.0109888,0.614072,0.948839
322,0.11028,0.113387,0.00824142,0.0109064,0.614452,0.949781
323,0.109608,0.112697,0.00816916,0.0108249,0.614831,0.950717
324,0.108939,0.112012,0.00809774,0.0107443,0.615206,0.951648
325,0.108274,0.11133,0.00802714,0.0106646,0.61558,0.952573
326,0.107613,0.110652,0.00795736,0.0105858,0.61595,0.953492
327,0.106955,0.109978,0.00788837,0.0105079,0.616319,0.954406
328,0.106301,0.109308,0.00782018,0.0104308,0.616684,0.955314
329,0.10565,0.108641,0.00775276,0.0103546,0.617048,0.956217
330,0.105004,0.107978,0.00768611,0.0102792,0.617409,0.957115
331,0.104361,0.107319,0.00762022,0.0102046,0.617767,0.958007
332,0.103721,0.106664,0.00755508,0.0101308,0.618123,0.958893
333,0.103086,0.106013,0.00749067,0.0100579,0.618477,0.959774
334,0.102453,0.105365,0.00742698,0.00998572,0.618829,0.96065
335,0.101825,0.104721,0.00736401,0.00991433,0.619178,0.961521
336,0.1012,0.10408,0.00730175,0.00984372,0.619525,0.962386
337,0.100578,0.103443,0.00724017,0.00977386,0.619869,0.963246
338,0.0999606,0.10281,0.00717929,0.00970475,0.620212,0.964101
339,0.0993463,0.10218,0.00711908,0.00963637,0.620552,0.96495
340,0.0987354,0.101555,0.00705954,0.00956873,0.620889,0.965795
341,0.0981281,0.100932,0.00700065,0.0095018,0.621225,0.966634
342,0.0975243,0.100313,0.00694242,0.00943557,0.621558,0.967468
343,0.0969239,0.0996983,0.00688482,0.00937005,0.621889,0.968297
344,0.096327,0.0990867,0.00682785,0.00930521,0.622218,0.969121
345,0.0957336,0.0984786,0.00677151,0.00924105,0.622545,0.969941
346,0.0951436,0.0978741,0.00671577,0.00917756,0.62287,0.970755
347,0.094557,0.097273,0.00666065,0.00911474,0.623192,0.971564
348,0.0939738,0.0966755,0.00660612,0.00905256,0.623513,0.972368
349,0.093394,0.0960814,0.00655218,0.00899103,0.623831,0.973168
350,0.0928176,0.0954908,0.00649882,0.00893013,0.624148,0.973962
351,0.0922445,0.0949037,0.00644603,0.00886986,0.624462,0.974752
352,0.0916748,0.09432,0.00639381,0.0088102,0.624774,0.975537
353,0.0911084,0.0937397,0.00634215,0.00875116,0.625084,0.976317
354,0.0905453,0.0931628,0.00629103,0.00869279,0.625392,0.977093
355,0.0899855,0.0925893,0.00624046,0.00863506,0.625698,0.977863
356,0.089429,0.0920191,0.00619043,0.00857791,0.626002,0.978629
357,0.0888758,0.0914524,0.00614092,0.00852134,0.626304,0.979391
358,0.0883258,0.0908889,0.00609194,0.00846534,0.626605,0.980148
359,0.0877791,0.0903288,0.00604347,0.00840989,0.626903,0.9809
360,0.0872356,0.089772,0.00599551,0.008355,0.627199,0.981647
361,0.0866953,0.0892185,0.00594805,0.00830065,0.627493,0.98239
362,0.0861582,0.0886683,0.00590108,0.00824684,0.627786,0.983129
363,0.0856243,0.0881214,0.0058546,0.00819357,0.628076,0.983863
364,0.0850936,0.0875777,0.0058086,0.00814082,0.628365,0.984592
365,0.084566,0.0870372,0.00576308,0.00808858,0.628652,0.985318
366,0.0840415,0.0864999,0.00571803,0.00803686,0.628937,0.986038
367,0.0835202,0.0859659,0.00567344,0.00798565,0.62922,0.986755
368,0.083002,0.085435,0.00562931,0.00793493,0.629501,0.987467
369,0.0824868,0.0849073,0.00558563,0.00788471,0.629781,0.988174
370,0.0819748,0.0843828,0.00554239,0.00783498,0.630058,0.988877
371,0.0814658,0.0838614,0.0054996,0.00778572,0.630334,0.989577
372,0.0809598,0.0833431,0.00545724,0.00773694,0.630609,0.990271
373,0.0804569,0.0828279,0.0054153,0.00768863,0.630881,0.990962
374,0.079957,0.0823159,0.00537379,0.00764077,0.631151,0.991648
375,0.0794601,0.0818069,0.0053327,0.00759338,0.63142,0.99233
376,0.0789662,0.081301,0.00529202,0.00754643,0.631687,0.993008
377,0.0784753,0.0807981,0.00525175,0.00749992,0.631953,0.993682
378,0.0779873,0.0802982,0.00521187,0.00745386,0.632217,0.994352
379,0.0775023,0.0798014,0.0051724,0.00740823,0.632479,0.995018
380,0.0770202,0.0793076,0.00513332,0.00736302,0.632739,0.995679
381,0.076541,0.0788168,0.00509462,0.00731824,0.632998,0.996337
382,0.0760648,0.0783289,0.00505631,0.00727387,0.633255,0.996991
383,0.0755914,0.077844,0.00501837,0.00722992,0.63351,0.99764
384,0.0751208,0.077362,0.00498081,0.00718638,0.633764,0.998286
385,0.0746532,0.076883,0.00494348,0.00714323,0.634016,0.998927
386,0.0741884,0.0764069,0.00490643,0.00710048,0.634267,0.999565
387,0.0737264,0.0759336,0.00486975,0.00705813,0.634516,1.0002
388,0.0732672,0.0754633,0.00483343,0.00701616,0.634763,1.00083
389,0.0728108,0.0749958,0.00479747,0.00697458,0.635009,1.00146
390,0.0723572,0.0745312,0.00476185,0.00693337,0.635253,1.00208
391,0.0719064,0.0740694,0.00472657,0.00689254,0.635496,1.0027
392,0.0714583,0.0736104,0.00469164,0.00685207,0.635737,1.00331
393,0.071013,0.0731543,0.00465705,0.00681197,0.635976,1.00392
394,0.0705704,0.0727009,0.00462278,0.00677223,0.636214,1.00453
395,0.0701305,0.0722503,0.00458885,0.00673285,0.636451,1.00513
396,0.0696933,0.0718025,0.00455524,0.00669381,0.636686,1.00573
397,0.0692588,0.0713574,0.00452195,0.00665513,0.63692,1.00633
398,0.0688269,0.0709151,0.00448898,0.00661679,0.637152,1.00692
399,0.0683977,0.0704755,0.00445632,0.00657878,0.637382,1.00751
400,0.0679712,0.0700385,0.00442397,0.00654111,0.637611,1.0081
401,0.0675473,0.0696043,0.00439192,0.00650377,0.637839,1.00868
402,0.067126,0.0691728,0.00436018,0.00646676,0.638065,1.00926
403,0.0667073,0.0687439,0.00432873,0.00643007,0.63829,1.00983
404,0.0662911,0.0683176,0.00429758,0.00639371,0.638514,1.0104
405,0.0658776,0.067894,0.00426672,0.00635765,0.638736,1.01097
406,0.0654666,0.067473,0.00423615,0.00632191,0.638956,1.01153
407,0.0650581,0.0670546,0.00420586,0.00628648,0.639176,1.0121
408,0.0646522,0.0666388,0.00417585,0.00625135,0.639393,1.01265
409,0.0642488,0.0662256,0.00414612,0.00621652,0.63961,1.01321
410,0.0638479,0.0658149,0.00411666,0.00618199,0.639825,1.01376
