Time,TMin,TMax,VMin,VMax,NMin,NMax
348,0.137174,0.138369,0.0063787,0.00850441,0.631675,0.995158
349,0.136418,0.137606,0.00631423,0.00843122,0.63212,0.996311
350,0.135666,0.136847,0.00625058,0.00835893,0.632563,0.997457
351,0.134917,0.136092,0.00618775,0.0082875,0.633002,0.998597
352,0.134172,0.13534,0.00612571,0.00821694,0.633439,0.99973
353,0.13343,0.134592,0.00606447,0.00814723,0.633874,1.00086
354,0.132692,0.133848,0.00600399,0.00807836,0.634305,1.00198
355,0.131958,0.133107,0.00594429,0.0080103,0.634734,1.0031
356,0.131227,0.132369,0.00588533,0.00794307,0.635161,1.00421
357,0.130499,0.131636,0.00582711,0.00787663,0.635585,1.00531
358,0.129775,0.130906,0.00576963,0.00781098,0.636007,1.00641
359,0.129055,0.130179,0.00571286,0.0077461,0.636426,1.0075
360,0.128338,0.129456,0.0056568,0.00768199,0.636842,1.00859
361,0.127625,0.128737,0.00560144,0.00761864,0.637256,1.00967
362,0.126915,0.128021,0.00554677,0.00755603,0.637668,1.01074
363,0.126209,0.127308,0.00549277,0.00749415,0.638077,1.01181
364,0.125506,0.126599,0.00543944,0.00743299,0.638483,1.01287
365,0.124806,0.125894,0.00538676,0.00737254,0.638888,1.01393
366,0.12411,0.125192,0.00533473,0.0073128,0.639289,1.01498
367,0.123418,0.124494,0.00528334,0.00725374,0.639689,1.01603
368,0.122729,0.123799,0.00523258,0.00719537,0.640086,1.01707
369,0.122043,0.123107,0.00518244,0.00713767,0.640481,1.0181
370,0.121361,0.122419,0.0051329,0.00708063,0.640873,1.01913
371,0.120682,0.121735,0.00508397,0.00702424,0.641263,1.02016
372,0.120007,0.121053,0.00503563,0.00696849,0.641651,1.02117
373,0.119335,0.120376,0.00498787,0.00691338,0.642036,1.02219
374,0.118666,0.119702,0.00494068,0.00685889,0.64242,1.02319
375,0.118001,0.119031,0.00489407,0.00680502,0.642801,1.0242
376,0.117339,0.118363,0.00484801,0.00675175,0.643179,1.02519
377,0.116681,0.117699,0.0048025,0.00669908,0.643556,1.02618
378,0.116026,0.117039,0.00475753,0.006647,0.64393,1.02717
